"","x"
"1143","EXO1"
"1144","PTPN14"
"1145","NRP1"
"1146","FP325317.1"
"1147","DNAJC9"
"1148","SLC16A12"
"1149","ANTXR2"
"1150","ARHGAP39"
"1151","HIST1H2AH"
"1152","CAPN6"
"1153","MOB3B"
"1154","AL118508.3"
"1155","ADGRL2"
"1156","RADIL"
"1157","IGSF10"
"1158","LINC00632"
"1159","FAM49A"
"1160","PLPP4"
"1161","TMEM63B"
"1162","DLGAP2"
"1163","FILIP1"
"1164","RAD54L"
"1165","CDCA2"
"1166","FAM111B"
"1167","AC005906.2"
"1168","AGMO"
"1169","VSTM4"
"1170","DNM1P51"
"1171","FN1"
"1172","INTS8"
"1173","DBNDD1"
"1174","DSEL"
"1175","GLP2R"
"1176","FILIP1L"
"1177","JPT1"
"1178","STIL"
"1179","ZFP36"
"1180","PLAGL1"
"1181","OCIAD2"
"1182","C2CD2"
"1183","AC144831.1"
"1184","HID1-AS1"
"1185","GID4"
"1186","RECK"
"1187","RHOXF1-AS1"
"1188","GRM8"
"1189","CERS6"
"1190","FANCA"
"1191","ADD3"
"1192","RFTN2"
"1193","AC062004.1"
"1194","CNOT11"
"1195","WSCD2"
"1196","C2orf88"
"1197","CENPK"
"1198","HIC1"
"1199","KANK1"
"1200","WTIP"
"1201","EPDR1"
"1202","TPPP"
"1203","AL592158.1"
"1204","ITM2A"
"1205","TONSL"
"1206","LSM4"
"1207","ZNF695"
"1208","RHOQ"
"1209","BCL9"
"1210","FAM184A"
"1211","HELLS"
"1212","TNN"
"1213","OAF"
"1214","ATAD5"
"1215","C20orf194"
"1216","SLCO3A1"
"1217","HIST1H2AD"
"1218","PAXIP1"
"1219","KALRN"
"1220","COL10A1"
"1221","PACSIN1"
"1222","RMI1"
"1223","IRX6"
"1224","NYAP1"
"1225","MMP19"
"1226","IL17D"
"1227","CILP2"
"1228","CBX4"
"1229","ID4"
"1230","MTMR9LP"
"1231","LINC01554"
"1232","LPAR1"
"1233","VAMP2"
"1234","PLEKHH2"
"1235","AC102945.2"
"1236","TAGLN"
"1237","PIK3R2"
"1238","ANAPC7"
"1239","PALM"
"1240","AC025470.2"
"1241","IGF2"
"1242","STX12"
"1243","CDCA4"
"1244","THRA"
"1245","LRCH2"
"1246","PTGIS"
"1247","CLIP4"
"1248","ADGRB3"
"1249","AL133215.2"
"1250","AC239868.1"
"1251","GRID1"
"1252","MPDZ"
"1253","SLC50A1"
"1254","UGP2"
"1255","HIST1H2AL"
"1256","TLN1"
"1257","LMO2"
"1258","CX3CL1"
"1259","TMPO-AS1"
"1260","GOLT1A"
"1261","CD302"
"1262","PTPRQ"
"1263","ARID5A"
"1264","CCDC80"
"1265","ANO6"
"1266","HSD17B7"
"1267","CRK"
"1268","KDM5B"
"1269","NECTIN3"
"1270","MEST"
"1271","PLA2G16"
"1272","RBPMS2"
"1273","ZNF670-ZNF695"
"1274","SH3TC2"
"1275","XPO5"
"1276","MARC1"
"1277","AC015656.1"
"1278","STXBP2"
"1279","TESMIN"
"1280","CHST7"
"1281","HMGA1"
"1282","COG2"
"1283","DNM1P41"
"1284","DMTN"
"1285","PER2"
"1286","BCHE"
"1287","PGM1"
"1288","USP44"
"1289","MTBP"
"1290","VAV2"
"1291","GAS7"
"1292","EPS8"
"1293","TUB"
"1294","EPHA2"
"1295","ZC3H12C"
"1296","LYPLAL1-AS1"
"1297","PDLIM1"
"1298","TYMS"
"1299","AC010226.1"
"1300","IPPK"
"1301","PRXL2A"
"1302","PPIAP19"
"1303","AC016734.1"
"1304","AC022336.2"
"1305","PLEKHA4"
"1306","DDX3X"
"1307","AL591686.1"
"1308","HIST1H3D"
"1309","ST6GALNAC1"
"1310","RHPN1-AS1"
"1311","TMEM273"
"1312","ADIRF"
"1313","FADS3"
"1314","UQCC2"
"1315","KIF18A"
"1316","FOXO3"
"1317","TJP1"
"1318","PDE11A"
"1319","FSTL1"
"1320","TTC23"
"1321","ROCK2"
"1322","LINC00598"
"1323","SCT"
"1324","NIPSNAP1"
"1325","CSRNP3"
"1326","ITSN1"
"1327","HYLS1"
"1328","PHLDB2"
"1329","UST"
"1330","RRAS"
"1331","FEZ1"
"1332","IGSF9"
"1333","CIP2A"
"1334","MT1A"
"1335","TRDN"
"1336","CUTC"
"1337","LINC01091"
"1338","HNRNPA1P66"
"1339","INPP5K"
"1340","THRB"
"1341","PDIA4"
"1342","RFC4"
"1343","FAM124B"
"1344","NFIB"
"1345","ZNF300P1"
"1346","P2RY12"
"1347","KLF2"
"1348","AL583785.1"
"1349","MIR99AHG"
"1350","CHTF18"
"1351","DOCK11"
"1352","DENND5A"
